Variable,Degree,Betweenness,Closeness,Strength
Depression,0.9090909090909092,0.04,0.9166666666666666,4.125
Stress,0.9090909090909092,0.04,0.9166666666666666,3.9610000000000007
Anxiety,0.9090909090909092,0.04,0.9166666666666666,3.918
SelfCompassion,0.9090909090909092,0.04,0.9166666666666666,3.7610000000000006
SocialMediaAddiction,0.9090909090909092,0.10848484848484848,0.9166666666666666,2.9509999999999996
SocialMediaTime,0.6363636363636364,0.0,0.7333333333333333,1.9549999999999998
FamilySupport,0.6363636363636364,0.006666666666666667,0.7333333333333333,1.928
CyberVictimization,0.7272727272727273,0.00606060606060606,0.7857142857142857,1.8350000000000004
Age,0.6363636363636364,0.0,0.7333333333333333,1.7120000000000002
Guilt,0.5454545454545454,0.02424242424242424,0.6875,1.516
FriendSupport,0.5454545454545454,0.03333333333333333,0.6875,1.3780000000000001
Shame,0.2727272727272727,0.006666666666666667,0.5789473684210527,0.784
